key,zh-cn,zh-tw,en,ja
action.add,添加,添加,Add,追加
action.pin,置顶,置頂,Pin,ピン留め
action.unpin,取消置顶,取消置頂,Unpin,ピン留め解除
action.pin_success,置顶成功,置頂成功,Pinned,ピン留めしました
action.unpin_success,取消置顶成功,取消置頂成功,Unpinned,ピン留めを解除しました
action.add_as_file,添加到,添加到,add to,～に追加する
action.add_success,已添加,已新增,Added,追加されました
action.added,已添加,已新增,Added,追加済み
action.allow,允许,允許,Allow,許可する
action.amplify,扩大,放大,Zoom in,拡大
action.and,和,和,and,と
action.and_character,、,、,", ",・
action.apply,应用,應用,Apply,適用
action.back,返回,返回,Back,戻る
action.cancel,取消,取消,Cancel,キャンセル
action.clear,清空,清空,Clear,クリア
action.click_upload,点击上传,點擊上傳,Click Upload,クリックアップロード
action.close,关闭,關閉,Close,閉じる
action.collapse,收起,收起,Collapse,折りたたむ
action.confirm,确认,確認,Confirm,確認
action.confirm_success,已确认,已確認,Confirmed,確認されました
action.copy,复制,複製,Copy,コピー
action.copy_failed,复制失败,複製失敗,Copy failed,コピー失敗
action.copy_link,复制链接,複製連結,Copy Link,リンクをコピー
action.copy_markdown,复制为Markdown,複製為Markdown,Copy As Markdown,Markdownとしてコピー
action.copy_success,已复制,已複製,Copied,コピーされました
action.copy_text,复制为文本,複製為文本,Copy As Text,テキストとしてコピー
action.create,新建,創建,Create,作成
action.create_success,已新建,已創建,Created,作成されました
action.del,删除,刪除,Delete,削除
action.delete,删除,刪除,Delete,削除
action.delete_confirm,确定删除该数据吗？删除后无法恢复,確定刪除該資料嗎？,Are you sure you want to delete this data?,このデータを削除してもよろしいですか？
action.delete_success,已删除,已刪除,Deleted,削除されました
action.delete_failed,删除失败,刪除失敗,Delete failed,削除失敗
action.delete_tip,删除提示,刪除提示,Delete confirmation,削除確認
action.disable,禁用,停用,Disable,無効
action.disable_success,已禁用,已停用,Disabled,無効になりました
action.download,下载,下載,Download,ダウンロード
action.operation_failed,操作失败,操作失敗,Operation failed,操作失敗
action.edit,编辑,編輯,Edit,編集
action.enable,启用,啟用,Enable,有効
action.enable_success,已启用,已啟用,Enabled,有効になりました
action.exit,退出登录,退出登入,Log out,ログアウト
action.exit_confirm,确定退出登录吗？,確定退出登入嗎？,Are you sure you want to log out?,ログアウトしてもよろしいですか？
action.exit_edit,退出编辑,退出編輯,Exit Edit,編集を終了
action.exit_success,已退出,已退出,Logged out,ログアウトしました
action.expand,展开,展開,Expand,展開
action.export,导出,導出,Export,エクスポート
action.favorite,收藏,收藏,Favorite,お気に入り
action.find,发现,發現,Find,発見
action.fixed,固定,固定,Pin,固定
action.forget_password,忘记密码？,忘記密碼？,Forgot password?,パスワードを忘れましたか？
action.generate_failed,生成失败,生成失敗,Generation failed,生成に失敗しました
action.login,登录,登入,Login,ログイン
action.login_directly,直接登录,直接登入,Login directly,直接ログイン
action.logout,退出登录,退出登入,Logout,ログアウト
action.manage,管理,管理,Manage,管理
action.merge_slice,合并切片,合併切片,Merge Slices,スライスを結合
action.more,更多,更多,More,もっと見る
action.next_step,下一步,下一步,Next step,次のステップ
action.not_update,暂不更新,暫不更新,Not Update,更新しない
action.ok,确定,確定,OK,OK
action.ok_v2,好的,好的,OK,OK
action.open,打开,打開,Open,開く
action.pay,去支付,去支付,Pay,支払いに進む
action.preview,预览,預覽,Preview,プレビュー
action.refresh,刷新,刷新,Refresh,更新
action.register,注册,註冊,Register,登録
action.remove,移除,移除,Remove,削除
action.remove_failed,移除失败，请重试,移除失敗，請重試,"Remove failed, please try again",削除に失敗しました、もう一度お試しください
action.remove_success,已移除,已移除,Removed,削除されました
action.rename,重命名,重命名,Rename,名前変更
action.renew,续费,續費,Renew,更新
action.replace,更换,更換,Replace,置換
action.reset,重置,重置,Reset,リセット
action.restart_generation,重新生成,重新生成,Regenerate,再生成
action.reupload,重新上传,重新上傳,Re-upload,再アップロード
action.save,保存,保存,Save,保存
action.save_and_exit,保存并退出,保存並退出,Save and Exit,保存して終了
action.save_failed,保存失败,儲存失敗,Save failed,保存に失敗しました
action.save_success,已保存,已儲存,Saved,保存されました
action.search,搜索,搜索,Search,検索
action.select,选择,選擇,Select,選択
action.select_all,全选,全選,Select All,全選択
action.send,发送,發送,Send,送信
action.send_success,已发送,已發送,Sent,送信されました
action.set,移动到,移動到,Move to,移動先を設定
action.set_template,设为模板,設為模板,Set as Template,テンプレートとして設定
action.setting,设置,設置,Settings,設定
action.share,分享,分享,Share,共有
action.shrink,缩小,縮小,Zoom out,縮小
action.sort,排序,排序,Sort,並び替え
action.sort_success,已更新排序,已更新排序,Sort updated,並び替えが更新されました
action.source_edit,源文件编辑,,,
action.split_slice,拆分切片,拆分切片,Split Slices,スライスを分割
action.stop,停止,停止,Stop,停止
action.stop_generation,停止生成,停止生成,Stop generation,生成を停止
action.submit,提交,提交,Submit,送信
action.tab_open,新标签页打开,新標籤頁打開,Open in New Tab,新しいタブで開く
action.unfavorite,取消收藏,取消收藏,Unfavorite,お気に入り解除
action.unfixed,取消固定,取消固定,Unpin,固定解除
action.unselect_all,取消全选,取消全選,Unselect All,取消全選択
action.update,更新,更新,Update,更新
action.update_password,更新密码,更新密碼,Update password,パスワードを更新
action.update_success,已更新,已更新,Updated,更新されました
action.upgrade,升级,升級,Upgrade,アップグレード
action.upload,上传,上傳,Upload,アップロード
action.use,使用,使用,Use,使用
action.go_use,去使用,去使用,Go Use,使用する
action.add_to_workbench,添加到工作台,添加到工作台,Add to Workbench,ワークベンチに追加
action.user_register,用户注册,用戶註冊,User registration,ユーザー登録
action.view,查看,查看,View,表示
action.view_more,查看更多,查看更多,View More,もっと見る
action.visit,访问,訪問,Visit,訪問
pictorial.image,示图,示圖,Diagram,示図
scene,场景,場景,Scene,シナリオ
agent.applied_type,应用型,應用型,Applied,応用型
agent.dialogue_type,对话型,對話型,Conversational,対話型
agent.assistant_type,助理型,助理型,Assistant,アシスタント型
agent.error_details,点击查看详情,點擊查看詳情,Click to view details,詳細を表示
agent.error_tip,智能体报错，请检查智能体相关配置！,智慧體報告錯誤，請檢查智慧體相關配置。,The agent reported an error. Please check the agent configuration.,エージェントがエラーを報告しました。エージェントの設定を確認してください。
agent.explore,探索,探索,Explore,探索
agent.failed_tip,智能体不可用，请检查智能体的接入是否正常，余额是否充足。,智慧體不可用，請檢查智慧體的接入是否正常，餘額是否充足。,The agent is unavailable. Please check if the agent connection is normal and if the balance is sufficient.,エージェントは利用不可です。エージェントの接続状況が正常か、残高が充足しているかを確認してください。
agent.no_data,管理员还未发布智能体,管理員還未發布智能體,No data,管理者がまだエージェントを公開していません
agent.type,类型,類型,Type,タイプ
agent.platform,平台,平台,Platform,プラットフォーム
agent.basic_info,基本信息,基本信息,Basic Information,基本情報
agent.change_avatar,更换头像,更換頭像,Change Avatar,アバターを変更
agent.bot_name_placeholder,请输入你应用的名称,請輸入你應用的名稱,"Please enter the name of your application",アプリケーションの名前を入力してください
agent.bot_desc_placeholder,请描述你的应用，该描述将在应用发布后固定展示,請描述你的應用，該描述將在應用發布後固定展示,"Please describe your application, this description will be displayed after the application is published",アプリケーションを説明してください。この説明はアプリケーションが公開された後、固定で表示されます。
agent.no_desc,暂无描述,暫無描述,No description,説明がありません
agent.sort_by_created_time,创建时间排序,創建時間排序,Sort by created time,作成日時で並べ替え
agent.sort_by_updated_time,更新时间排序,更新時間排序,Sort by updated time,更新日時で並べ替え
agent.preview_debug,预览与调试,預覽與調試,Preview & Debug,プレビューとデバッグ
agent.my_agent,我的智能体,我的智能體,My Agent,マイエージェント
agent.app_config,应用配置,應用配置,App Config,アプリケーション設定
agent.access_config,接入配置,接入配置,Access Configuration,アクセス設定
agent.access_process,接入流程,接入流程,Access Process,アクセス手順
agent.usage_guide_title,使用说明,使用說明,Usage Guide,使用ガイド
agent.recently_saved,最近保存,最近保存,Recently saved,最近保存
agent.publish,发布,發布,Publish,公開
agent.history_conversation,历史对话,歷史對話,Conversation History,会話履歴
agent.edit_name,编辑名称,編輯名稱,Edit name,名前を編集
agent.delete_conversation,删除对话,刪除對話,Delete conversation,会話を削除
agent.confirm_delete_agent,确定要删除该智能体吗？,確定要刪除該智能體嗎？,Are you sure you want to delete this agent?,このエージェントを削除してもよろしいですか？
agent.delete_success,删除成功,刪除成功,Deleted successfully,削除されました
agent.save_success,保存成功,保存成功,Saved successfully,保存されました
agent.id_not_exist,智能体ID不存在,智能體ID不存在,Agent ID does not exist,エージェントIDが存在しません
agent.not_found,智能体不存在或无权访问,智能體不存在或無權訪問,Agent not found or no permission,エージェントが見つからないかアクセス権限がありません
agent.not_owner,非智能体所有者,非智能體所有者,Not the agent owner,エージェントの所有者ではありません
agent.fetch_failed,获取智能体详情失败,獲取智能體詳情失敗,Failed to get agent details,エージェント詳細の取得に失敗しました
agent.please_input_name,请输入名称,請輸入名稱,Please enter name,名前を入力してください
agent.please_upload_avatar,请上传头像,請上傳頭像,Please upload avatar,アバターをアップロードしてください
agent.add_success,添加成功,添加成功,Added successfully,追加されました
agent.add_failed,添加失败,添加失敗,Add failed,追加に失敗しました
agent.create_channel_failed,创建渠道失败,創建渠道失敗,Failed to create channel,チャンネルの作成に失敗しました
agent.personal_agent_channel,个人智能体渠道,個人智能體渠道,Personal agent channel,個人エージェントチャンネル
agent.usage_channel,使用渠道,使用渠道,Usage Channel,使用チャンネル
agent.usage_scene,使用场景,使用場景,Usage Scene,使用シーン
agent.usage_case,使用案例,使用案例,Usage Case,使用例
agent.edit_channel,编辑渠道,編輯渠道,Edit channel,チャンネルを編集
agent.add_channel,添加渠道,添加渠道,Add channel,チャンネルを追加
agent.qrcode,二维码,二維碼,QR Code,QRコード
agent.channel_name,渠道,渠道,Channel,チャンネル
agent.please_fill_channel_name,请填写渠道名称,請填寫渠道名稱,Please enter channel name,チャンネル名を入力してください
agent.please_fill_usage_guide,请填写使用说明,請填寫使用說明,Please enter usage guide,使用ガイドを入力してください
agent.bot_type_openclaw,Bot型（OpenClaw）,Bot型（OpenClaw）,Bot Type (OpenClaw),Bot型（OpenClaw）
agent.app_type_workflow,应用型（工作流）,應用型（工作流）,App Type (Workflow),アプリ型（ワークフロー）
agent.chat_type_agent,对话型（智能体）,對話型（智能體）,Chat Type (Agent),対話型（エージェント）
agent.bot_type_desc,安装专属Skill的OpenClaw，可在多场景下自动响应用户请求，完成特定任务,安裝專屬Skill的OpenClaw，可在多場景下自動響應用戶請求，完成特定任務,OpenClaw with exclusive Skill can automatically respond to user requests in multiple scenarios,専用SkillをインストールしたOpenClawは、複数のシーンでユーザーリクエストに自動応答し、特定のタスクを完了できます
