key,zh-cn,zh-tw,en,ja
53ai,53AI,53AI,53AI,53AI
53ai_agent_get_tip,"前往53AI并登录（{url}）
 第一步：选择要接入的智能体，点击""接入使用""
第二步：在复制""API Endpoint"" 、 ""Bot-Id"" 和 ""SECRET_KEY""，填入下列表单。","前往53AI并登录（{url}）
 第一步：选择要接入的智能体，点击""接入使用""
第二步：在复制""API Endpoint"" 、 ""Bot-Id"" 和 ""SECRET_KEY""，填入下列表单。","Go to 53AI and login ({url})
 Step 1: Select the agent to be accessed, click ""Access API""
 Step 2: Copy ""API Endpoint"" 、 ""Bot-Id"" 和 ""SECRET_KEY"", and fill in the form below.","53AIにログイン（{url}）
 ステップ1：アクセスするインテリジェントエージェントを選択し、""APIアクセス""をクリック
 ステップ2：""APIエンドポイント"" 、 ""Bot-Id"" と ""SECRET_KEY""をコピーし、以下のフォームに入力してください。"
53ai_api_endpoint,API Endpoint,API Endpoint,API Endpoint,API Endpoint
53ai_api_screet,Secret Key,Secret Key,Secret Key,Secret Key
access_model,接入模型,接入模型,Access Model,接続モデル
account,账号,賬號,Account,アカウント
account_psd,账号密码,帳號密碼,Account And Password,アカウントとパスワード
account_register,注册账号,註冊賬號,Register Account,アカウント登録
action.add,添加,添加,Add,追加
action.added,已添加,已添加,Added,追加済み
action.cancel,取消,取消,Cancel,キャンセル
action.confirm,确认,確認,Confirm,確認
action.create,创建,創建,Create,作成
action.delete,删除,刪除,Delete,削除
action.edit,编辑,編輯,Edit,編集
action.manage,管理,管理,Manage,管理
action.more,更多,更多,More,もっと
action.operation,操作,操作,Operation,操作
action.save,保存,保存,Save,保存
action.copy_success,已复制,已複製,Copied,コピーしました
action.reset,重置,重置,Reset,リセット
action.reset_success,重置成功,重置成功,Reset successful,リセット成功
action.success,操作成功,操作成功,Operation successful,操作成功
action.setting,设置,設置,Setting,設定
action.view,查看,查看,View,表示
action_add,添加,添加,Add,追加
action_add_success,已添加,已添加,Added,追加しました
action_amplify,扩大,擴大,Enlarge,拡大
action_authorize,授权,授權,Authorize,認証
action_authorize_success,已授权,已授權,Authorized,認証しました
action_bind,关联,關聯,Associate,関連付ける
action_bind_success,已关联,已關聯,Associated,関連付けました
action_cancel,取消,取消,Cancel,キャンセル
action_clear,清空,清空,Clear,クリア
action_close,关闭,關閉,Close,閉じる
action_confirm,确定,確定,Confirm,確認
action_confirm_payment,确认收款,確認收款,Confirm Payment receipt,確認支払い
action_confirm_payment_success,已确认收款,已確認收款,Payment receipt confirmed,確認しました
action_confirm_success,已确认,已確認,Confirmed,確認しました
action_copy,复制,複製,Copy,コピー
action_copy_success,已复制,已複製,Copied,コピーしました
action_create,创建,創建,Create,作成
action_delete,删除,刪除,Delete,削除
action_delete_confirm,确定删除该数据吗？,確定刪除該數據嗎？,Are you sure to delete this data?,このデータを削除してもよろしいですか？
action_delete_success,已删除,已刪除,Deleted,削除しました
action_delete_tip,删除提示,刪除提示,Delete Prompt,削除ヒント
action_disable,禁用,禁用,Disable,無効化
action_disable_success,已禁用,已禁用,Disabled,無効化しました
action_edit,编辑,編輯,Edit,編集
action_enable,启用,啟用,Enable,有効化
action_enable_success,已启用,已啟用,Enabled,有効化しました
action_exit,退出登录,退出登錄,Logout,ログアウト
action_exit_confirm,确定退出登录吗？,確定退出登錄嗎？,Are you sure to logout?,ログアウトしますか？
action_exit_success,已退出,已退出,Logged Out,ログアウトしました
action_go,前往,前往,Go,前往
action_login,登录,登錄,Login,ログイン
action_login_success,已登录,已登錄,Logged in,ログインしました
action_manage,管理,管理,Manage,管理
action_modify,修改,修改,Modify,修正
action_next_step,下一步,下一步,Next Step,次のステップ
action_open,开启,開啟,Open,開く
action_preview,预览,預覽,Preview,プレビュー
action_register,注册,註冊,Register,登録
action_register_and_login,注册并登录,註冊並登錄,Register and Login,登録してログイン
action_register_success,已注册,已註冊,Registered,登録しました
action_remove,移除,移除,Remove,削除
action_remove_success,已移除,已移除,Removed,削除しました
action_rename,重命名,重命名,Rename,名前を変更
action_renew,续费,續費,Renew,更新
action_renew_v2,续期,續期,Extend,更新
action_replace,更换,更換,Replace,置換
action_reset,重置,重置,Reset,リセット
action_restart_generation,重新生成,重新生成,Restart Generation,再生成
action_save,保存,保存,Save,保存
action_save_failed,保存失败,保存失敗,Saving failed,保存失敗
action_save_success,已保存,已保存,Saved,保存しました
action_publish,发布,發布,Publish,公開
action_search,搜索,搜索,Search,検索
action_select,选择,選擇,Select,選択
action_select_file,+ 选择文件,+ 選擇文件,+ Select File,+ ファイルを選択
action_send,发送,發送,Send,送信
action_send_success,已发送,已發送,Sent,送信しました
action_setting,设置,設置,Settings,設定
action_shrink,缩小,縮小,reduce,縮小
action_sort,排序,排序,Sort,並べ替え
action_sort_success,已更新排序,已更新排序,Sort Updated,並べ替えが更新されました
action_stop_generation,停止生成,停止生成,Stop Generation,生成停止
action_sync_failed,同步失败,同步失敗,Start Sync,同期失敗
action_sync_start,开始同步,開始同步,Sync Failed,同期開始
action_test,测试,測試,Test,テスト
action_test_failed,不可用,不可用,Unavailable,不可用
action_test_success,可用,可用,Available,可用
action_unbind,取消关联,取消關聯,Cancel Association,関連付け解除する
action_unbind_success,已取消关联,已取消關聯,Association canceled,関連付け解除しました
action_update,更新,更新,Update,更新
action_update_success,已更新,已更新,Updated,更新しました
action_upgrade,升级,升級,Upgrade,アップグレード
action_upload,上传,上傳,Upload,アップロード
action_view_example,查看示例,查看示例,View Example,例を表示
action_view_more,查看更多,查看更多,View More,もっと見る
action_visit,访问,訪問,Visit,訪問します
add_time,添加时间,添加時間,Add Time,添加時間
admin_user.delete_confirm,确定删除该管理员吗？,確定刪除該管理員嗎？,Are you sure to delete this administrator?,このデータを削除してもよろしいですか？
admin_user.search_placeholder,搜索已有用户,請輸入管理員賬號,Search existing users,管理員アカウントを入力してください
admin_user.title,管理员,管理員,Administrator,管理員
skills.search_placeholder,技能名称,技能名稱,Search skills,スキル検索
skills.action_add,添加技能,添加技能,Add Skill,スキルを追加
skills.delete_confirm,确定要删除技能「{skill}」吗？删除后将无法恢复。,確定要刪除技能「{skill}」嗎？刪除後將無法恢復。,Are you sure you want to delete the skill "{skill}"? This action cannot be undone.,スキル「{skill}」を削除してもよろしいですか？削除後は復元できません。
skills.unsaved_confirm_message,有未保存的更改，确定要离开吗？,有未保存的更改，確定要離開嗎？,There are unsaved changes. Are you sure you want to leave?,保存されていない変更があります。離れてもよろしいですか？
agent.53ai.agent_type_chat,对话型（智能问答）,對話型應用,Conversational (Intelligent Q&A),会話型アプリケーション
agent.53ai.agent_type_chat_desc,用户与大模型进行对话，由一个大模型自主思考决策，适用于较为简单的业务逻辑。,用戶與大模型進行對話，由一個大模型自主思考決策，適用於較為簡單的業務邏輯。,"User interacts with a large model, which is autonomous and decision-making, suitable for simple business logic.",ユーザーが大模型と対話し、大模型が自主的に判断決定する。シンプルな業務ロジックに適しています。
agent.53ai.agent_type_workflow,应用型（应用智改）,工作流編排對話型應用,Application Type (Application Intelligent Transformation),ワークフロー編排会話型アプリケーション
agent.53ai.agent_type_workflow_desc,用户在表单录入需求，由大模型依据要求思考输出，适用于复杂业务逻辑的智能改造场景 。,工作流是一系列可執行指令的集合，用於實現業務邏輯或完成特定任務。,"Users enter requirements in a form, and the large model thinks and outputs according to the requirements, suitable for intelligent transformation scenarios of complex business logic.",ワークフローは一連の実行可能な命令の集合で、業務ロジックや特定のタスクを実現するために使用されます。
agent.app_feedback,用户反馈,用戶反饋,User Feedback,ユーザーフィードバック
agent.app_setting,应用设置,應用設置,Application Setting,アプリケーション設定
agent.app_statistic,运营数据,運營數據,Operation Data,運営データ
agent.base_info,基础信息,基礎信息,Base Info,基礎情報
agent.coze.agent_link,"扣子智能体""编辑状态""的链接",,,
agent.coze.agent_type_chat,对话型（智能体）,對話型應用,Conversational (Agent),会話型アプリケーション
agent.coze.agent_type_chat_desc,用户与大模型进行对话，由一个大模型自主思考决策，适用于较为简单的业务逻辑。,用戶與大模型進行對話，由一個大模型自主思考決策，適用於較為簡單的業務邏輯。,"User interacts with a large model, which is autonomous and decision-making, suitable for simple business logic.",ユーザーが大模型と対話し、大模型が自主的に判断決定する。シンプルな業務ロジックに適しています。
agent.coze.agent_type_workflow,应用型（工作流）,工作流編排對話型應用,Application Type (Workflow),ワークフロー編排会話型アプリケーション
agent.coze.agent_type_workflow_desc,工作流是一系列可执行指令的集合，用于实现业务逻辑或完成特定任务。,工作流是一系列可執行指令的集合，用於實現業務邏輯或完成特定任務。,"Workflow is a collection of executable instructions, used to implement business logic or complete specific tasks.",ワークフローは一連の実行可能な命令の集合で、業務ロジックや特定のタスクを実現するために使用されます。
agent.coze.workflow_link,"扣子工作流""编辑状态""的链接","Coze工作流""編輯狀態""的鏈接","Coze workflow ""edit state"" link","Cozeワークフロー""編集状態""のリンク"
agent.coze.workspace,工作空间,工作空間,Workspace,ワークスペース
agent.dify.agent_type_chat,对话型 （聊天助手/Agent/Chatflow）,對話型應用,Conversational (Chat Assistant/Agent/Chatflow),会話型アプリケーション
agent.dify.agent_type_chat_desc,用户与大模型进行对话，由一个大模型自主思考决策，适用于较为简单的业务逻辑。,用戶與大模型進行對話，由一個大模型自主思考決策，適用於較為簡單的業務邏輯。,"User interacts with a large model, which is autonomous and decision-making, suitable for simple business logic.",ユーザーが大模型と対話し、大模型が自主的に判断決定する。シンプルな業務ロジックに適しています。
agent.dify.agent_type_workflow,应用型（工作流/文本生成应用）,工作流編排對話型應用,Application Type (Workflow/Text Generation Application),ワークフロー編排会話型アプリケーション
agent.dify.agent_type_workflow_desc,工作流是一系列可执行指令的集合，用于实现业务逻辑或完成特定任务。 ,工作流是一系列可執行指令的集合，用於實現業務邏輯或完成特定任務。,"Workflow is a collection of executable instructions, used to implement business logic or complete specific tasks.",ワークフローは一連の実行可能な命令の集合で、業務ロジックや特定のタスクを実現するために使用されます。
agent.fastgpt.agent_type_chat,对话型（简易应用/工作流）,對話型（簡易應用/工作流）,Conversational (Simple Application/Workflow),対話型（簡易アプリケーション/ワークフロー）
agent.fastgpt.agent_type_chat_desc,用户与大模型进行对话，由一个大模型自主思考决策，适用于较为简单的业务逻辑。,用戶與大模型進行對話，由一個大模型自主思考決策，適用於較為簡單的業務邏輯。,"User interacts with a large model, which is autonomous and decision-making, suitable for simple business logic.",ユーザーが大模型と対話し、大模型が自主的に判断決定する。シンプルな業務ロジックに適しています。
agent.fastgpt.agent_type_workflow,应用型（插件）,應用型（插件）,Application Type (Plugin),アプリケーション型（プラグイン）
agent.fastgpt.agent_type_workflow_desc,可以自定义输入和输出的工作流，通常用于封装重复使用的工作流。,可以自定義輸入和輸出的工作流，通常用於封裝重複使用的工作流。,"A workflow that can customize input and output, usually used to encapsulate frequently used workflows.",入力と出力をカスタマイズ可能なワークフローで、通常は繰り返し使用されるワークフローをパッケージ化するために使用されます。
agent.input_variable,输入,輸入,Input,入力
agent.name,智能体,智能體,Agent,エージェント
agent.name_v2,智能体名称,智能體名稱,Agent Name,インテリジェントエージェント名
agent.output_variable,输出,輸出,Output,出力
agent.relate_app.auto_execution,自动执行,自動執行,Auto Execution,自動実行
agent.relate_app.desc,将智能体的“输出”赋值给关联场景智能体的“输入”，实现多场景任务的自动化流转。,將智能體的“輸出”賦值給關聯場景智能體的“輸入”，實現多場景任務的自動化流轉。,Assign the 'output' of the agent to the 'input' of the associated scenario agent to realize the automated flow of multi-scenario tasks.,エージェントの「出力」を関連シナリオエージェントの「入力」にマッピングし、多シナリオタスクの自動化を実現します。
agent.relate_app.execution_rule,执行规则,執行規則,Execution Rule,実行ルール
agent.relate_app.input_mapping,传参映射,傳參映射,Parameter Mapping,入力マッピング
agent.relate_app.manual_execution,手动执行,手動執行,Manual Execution,手動実行
agent.relate_app.title,关联场景,關聯場景,Associated Scenario,関連シナリオ
agent.variable_desc,描述,描述,Description,説明
agent.variable_label,显示名称,顯示名稱,Display Name,表示名
agent.variable_max_length,最大输入字数,最大輸入字數,Max Length,最大長
agent.variable_name,变量名称,變量名称,Variable Name,変数名称
agent.variable_options,选项,選項,Options,オプション
agent.variable_required,是否必填,是否必填,Required,必須
agent.variable_show_word_limit,是否展示字数,是否展示字數,Show Word count,単語数表示
agent.variable_type,变量类型,變量類型,Variable Type,変数タイプ
agent.error_details,点击查看详情,點擊查看詳情,Click to view details,詳細を表示
agent.error_tip,智能体报错，请检查智能体相关配置！,智慧體報告錯誤，請檢查智慧體相關配置。,The agent reported an error. Please check the agent configuration.,エージェントがエラーを報告しました。エージェントの設定を確認してください。
agent.no_desc,暂无描述,暫無描述,No description,説明がありません
agent.app_config,应用配置,應用配置,App Config,アプリケーション設定
agent.access_config,接入配置,接入配置,Access Configuration,アクセス設定
agent.access_process,接入流程,接入流程,Access Process,アクセス手順
agent.usage_guide_title,使用说明,使用說明,Usage Guide,使用ガイド
agent.save_success,保存成功,保存成功,Saved successfully,保存されました
agent.id_not_exist,智能体ID不存在,智能體ID不存在,Agent ID does not exist,エージェントIDが存在しません
agent_app.53ai_agent,53AI,53AI,53AI,53AI
agent_app.53ai_workflow,53AI,53AI,53AI,53AI
agent_app.openclaw,Openclaw,Openclaw,Openclaw,Openclaw
agent_app.app_builder,百度千帆Appbuilder,千帆Appbuilder,Qianfan Appbuilder,千帆Appbuilder
